,EWC_0,EWC_1,EWC_2,EWC_3,EWC_4
264,49,55,47,57,53
265,50,56,47,57,53
266,50,56,48,57,53
267,50,56,48,57,53
268,50,56,48,57,54
269,50,56,48,57,54
270,50,57,48,57,54
271,50,58,49,57,54
272,50,58,50,57,54
273,50,58,50,58,54
274,50,58,50,58,54
275,51,58,51,58,54
276,52,58,51,58,55
277,52,58,51,58,56
278,52,58,51,58,56
279,52,59,52,58,56
280,52,59,52,58,57
281,52,59,52,58,57
282,53,59,53,58,57
283,53,59,53,58,57
284,53,59,53,58,57
285,53,60,53,58,57
286,53,60,53,58,57
287,53,60,53,58,58
288,54,60,53,58,58
289,54,60,53,58,58
290,54,60,53,59,58
291,54,60,53,59,58
292,54,60,53,59,58
293,54,60,53,59,58
294,55,60,53,59,58
295,55,61,53,60,58
296,55,61,54,60,58
297,56,62,54,61,58
298,56,62,54,61,58
299,56,62,54,61,58
300,56,62,54,61,58
301,56,62,54,61,58
302,56,62,54,61,58
303,56,63,54,61,58
304,56,63,54,61,59
305,56,63,55,61,60
306,56,63,55,62,60
307,56,64,55,62,61
308,56,64,55,62,61
309,56,64,55,62,61
310,56,64,56,63,61
311,56,64,56,63,61
312,57,64,56,63,61
313,57,64,56,63,61
314,57,65,56,63,62
315,57,65,56,63,62
316,57,65,56,63,63
317,57,65,56,63,63
318,57,66,56,63,64
319,57,66,57,63,64
320,57,66,57,64,64
321,57,66,57,64,64
322,57,66,57,64,65
323,57,67,57,64,65
324,57,67,57,64,65
325,58,67,57,64,65
326,58,67,57,64,65
327,59,68,57,64,66
328,59,68,57,64,66
329,59,68,57,64,66
330,59,68,57,64,66
331,60,68,57,64,66
332,60,68,57,64,66
333,60,68,57,64,66
334,60,69,57,64,66
335,60,69,57,64,66
336,60,69,57,64,66
337,60,69,57,64,66
338,60,69,57,64,66
339,60,69,57,64,66
340,60,69,58,64,66
341,61,69,58,64,66
342,61,69,59,64,66
343,62,69,59,64,66
344,62,69,59,64,66
345,63,70,59,64,66
346,63,71,59,64,66
347,63,71,60,64,66
348,63,71,60,64,66
349,63,72,61,64,66
350,63,72,61,65,66
351,63,72,61,65,66
352,63,72,61,65,66
353,63,72,61,65,66
354,63,72,61,65,66
355,63,72,61,65,66
356,63,72,62,66,66
357,63,72,62,66,66
358,63,72,62,66,66
359,63,73,62,66,66
360,63,73,62,67,66
361,63,74,62,67,66
362,63,75,62,67,66
363,63,75,62,67,66
364,63,75,63,67,66
365,63,76,64,67,66
366,63,76,65,67,66
367,63,76,65,68,66
368,63,76,66,68,66
369,63,76,66,68,66
370,64,76,67,68,66
371,65,76,67,68,66
372,65,76,67,68,66
373,65,76,67,68,66
374,65,76,67,68,66
375,66,76,68,69,66
376,66,76,68,69,66
377,66,76,68,69,66
378,66,76,68,69,67
379,66,76,69,69,67
380,66,76,69,69,67
381,67,77,69,69,67
382,67,77,69,69,67
383,67,77,69,69,67
384,67,77,69,69,67
385,67,77,69,69,67
386,67,78,69,69,68
387,67,79,69,69,68
388,68,79,69,69,69
389,68,79,69,70,69
390,69,79,69,70,69
391,69,79,69,70,69
392,70,79,69,70,69
393,70,79,70,70,69
394,70,79,70,70,69
395,70,79,70,70,69
396,70,79,70,70,69
397,71,80,70,70,69
398,71,80,70,71,69
399,71,81,70,71,69
400,71,82,70,71,69
401,71,82,70,71,69
402,71,83,70,71,69
403,72,83,70,71,69
404,72,83,70,71,70
405,72,83,70,71,70
406,73,83,70,71,70
407,73,83,70,71,70
408,73,84,70,71,70
409,73,84,70,71,70
410,73,84,71,71,70
411,73,84,71,71,70
412,73,84,71,71,70
413,73,84,71,71,70
414,73,84,71,72,70
415,73,84,71,72,70
416,74,84,71,72,70
417,74,84,72,72,70
418,74,84,72,72,70
419,74,84,72,72,70
420,74,85,72,72,70
421,74,85,72,72,70
422,74,86,72,72,70
423,74,86,72,72,70
424,74,86,72,72,70
425,74,86,72,72,70
426,74,86,72,72,71
427,74,86,73,72,72
428,74,87,73,72,72
429,74,87,73,72,72
430,74,87,73,72,72
431,74,87,73,72,72
432,74,88,73,72,72
433,74,88,73,72,72
434,74,88,73,72,73
435,74,88,73,72,73
436,74,88,73,72,73
437,74,89,73,72,73
438,74,89,73,72,73
439,74,89,74,72,74
440,74,89,74,72,74
441,74,89,74,72,74
442,74,89,74,72,74
443,75,89,74,72,74
444,75,89,74,72,74
445,75,89,74,72,74
446,75,89,74,72,75
447,75,90,74,73,76
448,75,90,74,73,76
449,75,91,74,73,76
450,75,91,74,74,77
451,76,92,74,74,77
452,76,93,74,74,78
453,76,93,74,75,79
454,76,93,74,75,79
455,76,93,75,75,79
456,76,93,76,75,79
457,76,93,76,75,80
458,76,93,76,75,80
459,76,93,76,75,80
460,77,93,76,75,80
461,77,93,76,75,80
462,77,94,76,75,80
463,77,94,76,75,81
464,77,94,76,76,81
465,77,94,76,76,81
466,78,94,76,76,81
467,79,94,76,76,81
468,80,94,76,77,81
469,80,94,76,77,81
470,80,94,76,77,81
471,80,94,77,77,82
472,80,95,77,77,82
473,81,95,77,77,82
474,81,95,78,77,82
475,81,95,78,77,82
476,81,96,78,77,82
477,81,96,78,77,83
478,81,96,78,78,83
479,82,96,78,78,83
480,82,96,78,78,84
481,82,96,78,78,84
482,82,96,78,79,84
483,82,96,78,79,84
484,82,96,78,79,84
485,82,96,78,79,84
486,82,96,78,79,84
487,82,96,78,79,84
488,82,96,78,79,85
489,82,96,78,79,86
490,82,96,79,79,86
491,83,96,79,79,86
492,83,96,79,79,86
493,83,96,79,79,86
494,83,97,79,79,87
495,83,97,80,79,87
496,84,97,80,80,87
497,84,97,80,81,87
498,84,97,80,81,87
499,84,97,80,81,87
500,84,97,80,81,87
501,84,98,80,82,87
502,84,99,80,82,87
503,85,99,81,82,87
504,85,99,81,83,87
505,85,99,82,83,87
506,85,99,82,83,87
507,85,99,83,83,87
508,85,100,83,83,87
509,85,100,83,83,87
510,85,100,83,83,87
511,86,100,84,84,87
512,86,100,84,84,87
513,86,100,84,84,88
514,86,100,84,84,88
515,86,100,84,85,88
516,86,100,84,85,89
517,86,100,84,85,89
518,86,100,84,85,89
519,86,100,85,85,90
520,86,100,85,85,91
521,86,100,85,86,92
522,86,100,85,86,92
523,86,100,85,86,92
524,86,100,85,86,92
525,86,100,85,86,92
526,86,100,85,86,92
527,86,101,85,86,92
528,86,102,85,86,92
529,86,102,85,86,92
530,86,102,85,86,93
531,86,102,85,87,93
532,86,102,85,88,93
533,87,102,85,88,93
534,87,102,85,88,94
535,87,102,85,88,94
536,87,103,85,88,94
537,88,103,86,89,94
538,88,103,86,89,95
539,88,103,86,90,95
540,88,103,86,90,95
541,88,103,86,90,95
542,88,103,86,90,95
543,88,103,86,91,95
544,88,103,86,91,95
545,88,103,86,91,95
546,88,103,86,92,95
547,88,103,86,92,95
548,88,103,86,92,95
549,89,103,86,92,95
550,90,103,86,92,96
551,90,103,86,92,96
552,90,103,86,92,96
553,90,103,87,92,96
554,90,103,87,93,96
555,90,104,87,93,96
556,90,104,87,93,96
557,90,105,87,94,96
558,90,105,88,94,96
559,90,105,88,94,96
560,90,105,88,94,96
561,90,105,88,94,97
562,90,105,88,95,98
563,90,106,88,95,98
564,91,107,88,96,98
565,91,107,88,96,98
566,91,107,88,96,98
567,91,107,88,96,98
568,92,107,88,96,98
569,92,107,88,96,98
570,92,107,88,96,98
571,92,107,88,96,98
572,92,107,88,96,98
573,92,107,88,96,98
574,92,107,88,96,98
575,93,107,88,96,98
576,93,107,88,96,98
577,93,108,89,96,98
578,93,108,90,97,98
579,93,109,90,97,98
580,93,109,90,97,98
581,93,109,90,98,98
582,93,109,90,98,98
583,93,109,90,98,98
584,93,109,90,99,98
585,93,109,90,99,98
586,93,109,90,99,98
587,93,109,90,99,98
588,93,109,90,99,98
589,93,109,90,100,98
590,93,109,90,100,99
591,93,109,90,100,99
592,93,109,90,100,99
593,93,110,91,101,99
594,93,110,91,101,100
595,93,110,91,101,101
596,93,111,91,101,101
597,93,111,91,101,101
598,93,111,91,101,101
599,93,111,91,102,101
600,93,111,91,102,101
601,93,111,91,102,101
602,93,111,91,102,102
603,93,111,91,102,103
604,93,111,91,102,103
605,93,111,91,102,103
606,93,111,91,102,103
607,93,111,91,102,103
608,93,111,91,103,103
609,93,111,91,103,103
610,93,111,91,103,103
611,93,111,92,103,103
612,93,111,92,103,103
613,93,111,92,103,103
614,93,111,93,103,103
615,93,111,93,103,103
616,93,111,93,103,103
617,93,111,93,103,103
618,93,111,93,104,103
619,93,111,93,104,103
620,93,111,93,104,103
621,93,111,93,104,103
622,93,111,93,104,103
623,93,111,93,105,103
624,93,111,94,105,103
625,93,111,94,105,103
626,93,111,94,105,103
627,93,111,94,105,103
628,93,111,94,105,103
629,93,112,94,105,103
630,93,112,94,105,103
631,93,112,94,106,103
632,93,112,94,106,103
633,94,113,94,107,103
634,94,113,94,107,103
635,94,113,94,107,103
636,94,113,94,107,103
637,94,113,94,107,103
638,94,114,94,107,104
639,94,114,95,107,104
640,94,115,95,107,104
641,94,116,96,107,104
642,94,116,96,107,105
643,94,116,96,107,105
644,94,116,96,107,105
645,94,116,96,107,105
646,94,116,96,107,105
647,94,116,96,107,105
648,94,116,96,107,106
649,95,116,96,107,106
650,95,116,96,108,106
651,95,117,96,108,106
652,95,117,96,108,106
653,95,117,96,108,106
654,95,117,96,108,107
655,95,117,96,108,107
656,95,117,96,108,107
657,96,118,96,108,108
658,97,118,96,108,108
659,97,119,97,108,108
660,97,119,97,108,108
661,97,119,97,108,108
662,97,119,97,108,108
663,97,119,97,109,108
664,97,119,97,109,108
