ID,response,TT,CO2
24,0.2689414213699951,10.5,90.0
25,0.5,10.0,100.0
25,0.5,10.0,95.65217391
25,0.8807970779778824,10.0,91.30434783
25,0.11920292202211755,11.5,90.0
25,0.11920292202211755,11.0,90.0
25,0.5,10.5,90.0
25,0.8807970779778824,10.0,86.95652174
26,0.2689414213699951,11.0,90.0
26,0.2689414213699951,10.5,90.0
26,0.2689414213699951,11.5,90.0
26,0.5,10.0,100.0
26,0.5,10.0,95.65217391
26,0.5,10.0,91.30434783
26,0.7310585786300049,10.0,86.95652174
27,0.8807970779778824,10.0,86.95652174
27,0.7310585786300049,10.0,91.30434783
27,0.5,10.0,100.0
27,0.2689414213699951,10.5,90.0
27,0.2689414213699951,11.0,90.0
27,0.2689414213699951,11.5,90.0
27,0.5,10.0,95.65217391
28,0.5,10.0,91.30434783
28,0.5,10.0,95.65217391
28,0.5,10.0,100.0
28,0.2689414213699951,10.5,90.0
28,0.7310585786300049,10.0,86.95652174
28,0.2689414213699951,11.5,90.0
28,0.2689414213699951,11.0,90.0
29,0.5,10.0,100.0
29,0.2689414213699951,11.0,90.0
29,0.7310585786300049,10.0,95.65217391
29,0.7310585786300049,10.0,91.30434783
29,0.5,10.0,86.95652174
29,0.2689414213699951,10.5,90.0
29,0.11920292202211755,11.5,90.0
30,0.11920292202211755,10.0,91.30434783
30,0.5,10.0,100.0
30,0.11920292202211755,10.0,86.95652174
30,0.11920292202211755,11.5,90.0
30,0.11920292202211755,11.0,90.0
30,0.11920292202211755,10.5,90.0
30,0.2689414213699951,10.0,95.65217391
31,0.7310585786300049,10.0,86.95652174
31,0.7310585786300049,10.0,91.30434783
31,0.017986209962091555,11.5,90.0
31,0.017986209962091555,11.0,90.0
31,0.017986209962091555,10.5,90.0
31,0.5,10.0,100.0
31,0.5,10.0,95.65217391
